sentiment,text
0,"After readin hatz94's comment, i can't stop thinkin bout the recent school fight my friend got into... smashed his glasses... "
0,At Kincaid's alone because the rest of the @Kalexo crew is in Australia without ne 
0,hey @bradiewebbstack i miss you a lot man! never got to say hey to you at sway sway  . you better be missing your jelly beans mr!
4,Ladytsuki is waiting me to go to their house... wahaha.. she loves me soooooo much... 
0,hopes he can get to sleep at a decent time... I used to be able to sleep well.... ugh 
4,Work at 130 hi people   -RickG
4,Goodness! a tiring day again. Just played the piano. Really soothes me. 
0,@macmuso theatre's fantastic like that! I hope to be able to see it (though i may not be able to afford it  )
0,I ONLY HAVE 456 FRIENDS ON FACEBOOK  not even close the the one billion that i want (i'm JK)
0,Going home from surverying class.. Super tired  all the math ahhh!! But feel great bc I learned a lot. http://twitpic.com/3j349
4,@katebell25 your welcome kate 
4,Please everyone let @AmandaFClark know she's sexy - I think she's sick of hearing it from me and needs to be reminded she's beautiful 
0,@LexaDawn I still haven't sent your SS gift omg. Kill me now. I'm sorry  you'll have it soon. I promise!
4,@oliviaspruill i'll see if my mom wants to go on june 30 and i'll wear one then 
4,@niftynosh Awesome beans 
4,@fishshark all the time. strange that the good ones don't stick as long &amp; it takes ages to get rid of the bad ones! 
4,"@thiagi dude, your quizzes turn me into a 6 year old jumping up and down to get it right. Mental regression or something. "
4,@SammiAhoy Ty. And you're a big girl yet you want to teach the dogs to cook! We're probably spamming everyone's Twitter page 
4,"Once upon a dream- Emily Osment â¥, such a great song "
0,"Kinda scared that 'Britney Fucked Vids' is following me 4 times, makes me think i'm a pervert with no friends "
0,"hey twitters how are you all? with me not so good, my relationship with my boyfriend is over "
4,"alrighty, im off to watch skins and then bed  goodnight lovelies sweet dreams "
0,Just fell down the last couple of stairs of my basement... Ouchh 
0,I miss ubiquity in firefox since I'm using chrome koz of my slow PC 
0,"if you can find any college baseball scoreboard information on SI.COM you win, because I can't     sports fail."
4,&gt;&gt;&gt;&gt;&gt;&gt; @Sweet_as_Sin &lt;&lt;&lt; dope poet and gorgeous girlll make sure u show her some follow friday love 
0,@aniskywalker I've been a fan since the first album and heard such great reviews of their concerts. Hopefully I'll get the chance again.. 
4,"Sydney - Ford - Econovan - 2000 - $3,800  - new ad received and will be posted on the HCC site soon "
0,"@no_surprises i stopped following donnie, he's sooooooo friggin annoying :\ i hate the new NKOTB donnie, i miss &quot;actor donnie&quot; "
0,@morrissey2637  Ah right!!! i dont even know whats going on there!! i sooo need to read the news 
0,@uberlaze So jealous.    Back in work today and already feeling underenthused.
0,Bro told me he bought a shirt at Pull and Bear. I have never bought anything from there yet. 
0,..also stressed&amp; sleepless re a social care problem for my son.. Dom care agency quality sucks 
0,"@allmyindecision aha, thats like 3 hours from Vegreville  We'll come play in Calgary too, know any bands we could talk to about shows?"
0,"My iPhone woke up, but it's deaf!! Needs to see a good iPhone doctor "
4,I'm on top of the world!! Or on top of Vegas in the Stratosphere 
0,i think i must be the only person to have applied to over 30 places and NOT get a successful response back 
4,@Austenmcally i so would work for them!  Im dying at H&amp;M...
4,"ohhh, jus got a new hair cut  check it out on myspace!"
0,@hhking I hate having to endure baby pics on Facebook. 
0,@WahooPooh forgiven even though I had to face that hell alone with nobody to hide behind  I shall work on my shoulders all day.
4,writing english examination in exactly 60 minutes.  can't wait to just get it over with so i can get outside again!  such a beautiful day 
4,@JessMcFlyxxx gdgd well i better go and get ready for work :| haha have fun tonight  x x
4,"@arthurficial Nah, it is meeting with Major Hospital group and Major Medical Funder. ;) I'll have to organise DBN sometime "
4,@alyssabeatdown  yeaaah
0,"@EDDIEKLIVE visiting life in other countries but be awfuly amazin, and beautifully devine, too bad i have a geographical phobia! "
4,@raevynlunatique Awww...what a nice day! 
4,"@Bkk_Saluja i'm DYING to visit thailand, so hopefully 2010! why don't you meet me in India this fall? or better yet - the states?? "
4,R @Onelovekiddo why didn't u just ask me for a hug? Lol ur always welcome to one 
4,Interesting article &amp; links at ChristianPF - How to Make Money with a Blog   http://bit.ly/7l9s1
4,Anyone writing code at #fowa while consuming the talk in a background thread? 
4,@joek949 LOL or I'd best stay away from chilli for a bit! Morning 
0,Nice warm day and I have the sniffles 
0,"And more personal info - I now have a purple toe nail and it looks like it's going to fall off, no sandals for me this summer "
4,UGH! Its Monday! That's ok..gonna take tomorrow off...but I'll be working on stuff @ home so it won't be a huge lazy day 
0,"Be kind, rewind today as I need to start my day over!  "
4,Busy being the luckiest girl in the world 
0,"@mileycyrus Â£60 for your UK concert. we're not all rich like you. PLEASE lower it, I've been wanting to see you for so long. "
4,#followfriday @AngelWardriver A great digger!  She is a real sweetheart!  And welcome to Twitter! 
0,broke a 1.6K worth Quartz cuvette.... Also Abhijit rathi out of action for 21 days due to ligament tear 
4,Up was very cute! But very sad. I'll stick with wall e 
4,"http://twitpic.com/6qe5t - Off to 'work', hosting at today's Musikkfest in the capital "
0,@JordanCondra where are you  lol
0,today needs to be Sunday 
4,new greenday song in my head. 
0,Well it sounds like sum kids with matches lit sum grass on fire 
0,"Not happy about the L4D2 announcement  Don't get me wrong - its great - but thats not Valve, not one bit. Are they pushing this one out?"
0,Headache!tierd!missing my boyfriend @losoway22 I wish he didn't have to work so much 
0,@MatthewFabarez I DIDNT SEE YOU AT GRAD NIGHT!!! 
0,im chilling after a crazy weekend!! also got dumped by my boyfriend last week so trying to get over him  x
4,"@ajitfoldsfive Noooo! D: I mergesorted by partitioning them, but when I got bored with it, I'd move to a different shelf and heapsort!  "
4,@dfizzy hah. Have fun sleeping. [: Hope you feel better soon. 
4,"Is it wrong I can't wait to go back to school tomorrow? Probably, but I get to see Gemma "
4,@WeTheTravis @WeTheDan @wethehunter @wethedrew happy 5 years guys 
4,"@Yorksville Glad to hear it  Kiddies on fine form, but WHERE do they get so much energy from ;)"
0,Spent a few hours updating/fixing my blog on a real computer felt goooood. I wonder when my new laptop charger will get here 
0,@iamkevinbryant Oh No... No Drama  ... But I'm sure it's not something you can't overcome and triumph it into a great HIT! Holla!
4,So hopefully I can move up in the company over time. I LOVE BROOKLYN  Yeah! And the job starts when I get back from LA. Going next week!
4,When my mum got home she made me a cheese sandwich and it was goood ...waiting for the two game 7s to start 
4,@brigwyn Oh hey! Grats on your 'welcome aboard' email! 
0,been up since 4 am; feeling something coming on and its not good 
0,@sc430girl yup- nyquil is gone 
4,@mileycyrus How do you feel about ur hands? How are they connected to ur art? See?! Someone came up to you and asked you 
0,I bet this device is already made to. I would not put it past our 'leaders'  to seek and destroy all humanity. 
4,"@manicmai HAHA nope, honey bunches of oats "
4,getting an early start on my Bday!  29 - wow... last year in my 20s... gotta live it up!
4,@CA_Young glad to see you're back  hope the break help and insanity is done/improved. next and final step: procure actual horse 
0,Wireless poor so my Mac is using Ethernet cable. Guess I'll be partying at #stc09 like it's 1999?  Off to Leadership Day (all day) soon.
0,What a not what I expected weekend 
4,"Just out of the shower! And now, @IndieKidEll is coming over.. yayayayay right? "
4,"@headphonepete I thought about going to the curling, never been before, but I thought it would bore me "
4,"@UniqueGuitarist dunno, might go out today.... "
4,Taking a group of guys from church to a camp to work on a kitchen floor today. I'm at Lowes  Lowes is to men as walmart is to women.
4,@m1shxlee hey at least ur working I got this whole weekend off!! 
0,Working. Still working. Fortunately there is nothing on TV. 
4,@andreaspeas Nice tune! Ty. 
4,Beers and soccer before noon... Clearly I'm hanging out with brits 
4,ATTN: Web/Graphic design people.  http://bit.ly/8981u
0,"Despite liberal and regular application of sunscreen yesterday, my poor ordinarily pale skin is rather red - ouch  - and freckled"
4,@JackAllTimeLow you need company? 
0,"Owie I was out in the sun 2 long..sidewalks get Reeeal k'HOT! I got blisters on my puppy paws  limping around now, wheres my aloevera gel"
4,I yawn at  Palm Pre too. iPhone users unite 
4,@Artisanwarrior no joke! we're blessed 
0,Not great to be woken by a cat and mouse chase in the bedroom. Poor mouse 
0,@holygee I truly understand and empathize with you.. BTW same condition here with me.. no women.. no liquor...!! 
4,Sounds like fun 
4,@Moni7dSHEGETDOE thats because i'm the only one that understands you  
4,@tenick Follow me please 
4,"@magnebergan  It is actually surprisingly easy to stay away from twitter. I really enjoyed it this time, don't think I missed much either"
4,omg he looks so cute in his glasses 
0,me hungry  i want fooodddddddddddd 
4,"@CherylH77 Always willing to help. I may not know what I'm talking about, but it's worth a shot! "
4,@SherlockHomiee Hey ! I got your DMs. So you're in france ? 
0,Lookin thru pics again... I miss u girls... Waaaaaaa 
0,@Readwritelive You're lucky! It hasn't rained here in about four months! 
4,wants msn to hurry up &amp; downloadd! watched gossip girl 
4,toast with pasto its sooooooo good  yyyami XD
4,#asot400 interview time 
0,It's throbbinggg &amp; I hate getting drunk cus I wake up so early! 
0,Freeezing in the office today...and I can't find my fleece  i hope the cleaning ladies didn't take it...
4,"Wow, you're ridiculous. "
4,Have to clean my laptop. urgh. to many things on it  &amp;&amp; working on a jemi video. &lt;3 excited for YOU to check it out (: tryin new effects!
0,"@NYTM me  I really really want to go, i thought i RSVP'd today, but apparently not ("
4,"@DhaniJones Last time I saw you in NY was @ Giants camp,then ran into you in the mall...sure you don't remember but I remember you... "
0,i hate being so lazy 
4,@jagalubnan lol that would be fun =] in about 6 years time maybe that will happen 
0,Work sucks when your here all day 
0,Bad hair day.. 
0,@EllySHenderson i spelled it wrong didn't i? 
4,So I picked up the guitar today &amp; played it.. Man that was scary!! LOL During worship too!! I need a teacher!! I really wanna learn! 
0,"@baknitter I heard!! I think you're in charge of organizing all the teachers/rooms/rotations, etc "
0,I want to watch Camp Rock for the 3rd time today!  no one will let me
0,is attempting to work her new phone and isn't going too well! 
4,the Red Sox got a home run 
4,it's too early to work.... great weekend though again 
0,@deepthipola things would be difficult!! How can I find her next to my room for real?? 
4,"@kyleandjackieo i dont like fake nails, ive always preffered natural ones "
4,@RicahChae thanks girl! i feel better 2day 
0,@lynnskitchenadv Glad. Watching those numbers plummet is upsetting 
0,Stuck with family! Too dull to survive for long  x
4,@pfieldumcyouth http://twitpic.com/6gkoq - Amazing!  So glad you guys are twittering all this 
0,@ragedizzer  At least find me at some point to say hi!
4,@JonasBrothers i love you guys  and i can't wait to see u in concert on the 28th!!!!! r u guys gonna have a meet and greet? 
0,"I just dropped my 3rd cup of coffee on the table, &amp; it spilled all over when the cup broke  Had 2 clean up a mess. &amp; i'm 1 cup short n ..."
4,@narinaanne You're welcome!! A friend of @fitprosarah is a friend of mine. Nice to Tweet you 
0,@tomasekeli I agree...kids get so sad when they're sick. 
4,@iamtherumour_ annnie babes!  i have to revise for busman  give me sympathy. hahaha
4,Can't sleep all I could think about is him 
0,"Market flavors are up!!  SF Health Dept is UNRESPONSIVE, so we'll see if I get into Stonestown by Sunday   http://bit.ly/JPOZK"
4,Swinging through the trees on this beautiful summer breeze.... wha ha ha.... its good to be young 
